MR1:luggage+1 airClass=0, isStudent=F/T, area=0~1, economicfee=1000
group 1 source test case:0,0,true,119.64869512446558,1000.0
group 1 follow test case:0,0,true,120.64869512446558,1000.0
group 2 source test case:0,1,false,72.70278288205279,1000.0
group 2 follow test case:0,1,false,73.70278288205279,1000.0
group 3 source test case:0,1,true,71.33547728574129,1000.0
group 3 follow test case:0,1,true,72.33547728574129,1000.0
group 4 source test case:0,0,false,124.73275769718863,1000.0
group 4 follow test case:0,0,false,125.73275769718863,1000.0
group 5 source test case:0,0,false,67.87077415276379,1000.0
group 5 follow test case:0,0,false,68.87077415276379,1000.0
group 6 source test case:0,0,false,116.70377749156285,1000.0
group 6 follow test case:0,0,false,117.70377749156285,1000.0
group 7 source test case:0,1,false,56.08534908008036,1000.0
group 7 follow test case:0,1,false,57.08534908008036,1000.0
group 8 source test case:0,0,false,146.53881093688415,1000.0
group 8 follow test case:0,0,false,147.53881093688415,1000.0
group 9 source test case:0,0,false,157.30059333468276,1000.0
group 9 follow test case:0,0,false,158.30059333468276,1000.0
group 10 source test case:0,1,true,40.5571943572376,1000.0
group 10 follow test case:0,1,true,41.5571943572376,1000.0
group 11 source test case:0,1,true,161.82970202698124,1000.0
group 11 follow test case:0,1,true,162.82970202698124,1000.0
group 12 source test case:0,0,true,51.4564976497017,1000.0
group 12 follow test case:0,0,true,52.4564976497017,1000.0
group 13 source test case:0,1,true,86.28293121567478,1000.0
group 13 follow test case:0,1,true,87.28293121567478,1000.0
group 14 source test case:0,0,false,71.48614974154381,1000.0
group 14 follow test case:0,0,false,72.48614974154381,1000.0
group 15 source test case:0,1,true,86.36353716283095,1000.0
group 15 follow test case:0,1,true,87.36353716283095,1000.0
group 16 source test case:0,0,true,151.78025398384938,1000.0
group 16 follow test case:0,0,true,152.78025398384938,1000.0
group 17 source test case:0,0,true,145.8142567250413,1000.0
group 17 follow test case:0,0,true,146.8142567250413,1000.0
group 18 source test case:0,1,true,188.1316248684515,1000.0
group 18 follow test case:0,1,true,189.1316248684515,1000.0
group 19 source test case:0,0,true,74.66970450116963,1000.0
group 19 follow test case:0,0,true,75.66970450116963,1000.0
group 20 source test case:0,1,true,47.69824403777696,1000.0
group 20 follow test case:0,1,true,48.69824403777696,1000.0
group 21 source test case:0,0,false,170.22856408480857,1000.0
group 21 follow test case:0,0,false,171.22856408480857,1000.0
group 22 source test case:0,0,false,144.06397047454305,1000.0
group 22 follow test case:0,0,false,145.06397047454305,1000.0
group 23 source test case:0,1,true,155.53161938251193,1000.0
group 23 follow test case:0,1,true,156.53161938251193,1000.0
group 24 source test case:0,0,false,55.039203657598925,1000.0
group 24 follow test case:0,0,false,56.039203657598925,1000.0
group 25 source test case:0,1,false,123.82757893723729,1000.0
group 25 follow test case:0,1,false,124.82757893723729,1000.0
group 26 source test case:0,0,false,67.130228484214,1000.0
group 26 follow test case:0,0,false,68.130228484214,1000.0
group 27 source test case:0,1,true,40.34760518271037,1000.0
group 27 follow test case:0,1,true,41.34760518271037,1000.0
group 28 source test case:0,0,false,95.25803126307216,1000.0
group 28 follow test case:0,0,false,96.25803126307216,1000.0
group 29 source test case:0,1,true,111.86991541229496,1000.0
group 29 follow test case:0,1,true,112.86991541229496,1000.0
group 30 source test case:0,1,true,75.33361555705832,1000.0
group 30 follow test case:0,1,true,76.33361555705832,1000.0
group 31 source test case:0,1,false,171.3264558354406,1000.0
group 31 follow test case:0,1,false,172.3264558354406,1000.0
group 32 source test case:0,0,false,176.44608528843187,1000.0
group 32 follow test case:0,0,false,177.44608528843187,1000.0
group 33 source test case:0,1,false,126.23109977799486,1000.0
group 33 follow test case:0,1,false,127.23109977799486,1000.0
group 34 source test case:0,0,false,188.67516607731807,1000.0
group 34 follow test case:0,0,false,189.67516607731807,1000.0
group 35 source test case:0,1,false,145.75075147878707,1000.0
group 35 follow test case:0,1,false,146.75075147878707,1000.0
group 36 source test case:0,1,true,67.86969920086892,1000.0
group 36 follow test case:0,1,true,68.86969920086892,1000.0
group 37 source test case:0,1,true,64.91274589052978,1000.0
group 37 follow test case:0,1,true,65.91274589052978,1000.0
group 38 source test case:0,0,false,63.83953141403509,1000.0
group 38 follow test case:0,0,false,64.8395314140351,1000.0
group 39 source test case:0,1,false,99.9699758991076,1000.0
group 39 follow test case:0,1,false,100.9699758991076,1000.0
group 40 source test case:0,0,false,104.4771487175925,1000.0
group 40 follow test case:0,0,false,105.4771487175925,1000.0
group 41 source test case:0,0,false,100.4139274107614,1000.0
group 41 follow test case:0,0,false,101.4139274107614,1000.0
group 42 source test case:0,0,true,59.77792738378282,1000.0
group 42 follow test case:0,0,true,60.77792738378282,1000.0
group 43 source test case:0,1,false,81.2299133650977,1000.0
group 43 follow test case:0,1,false,82.2299133650977,1000.0
group 44 source test case:0,0,true,147.96947231081666,1000.0
group 44 follow test case:0,0,true,148.96947231081666,1000.0
group 45 source test case:0,1,false,79.78170969961464,1000.0
group 45 follow test case:0,1,false,80.78170969961464,1000.0
group 46 source test case:0,1,false,65.1307650305807,1000.0
group 46 follow test case:0,1,false,66.1307650305807,1000.0
group 47 source test case:0,1,false,194.3577090175899,1000.0
group 47 follow test case:0,1,false,195.3577090175899,1000.0
group 48 source test case:0,1,true,67.40460609895904,1000.0
group 48 follow test case:0,1,true,68.40460609895904,1000.0
group 49 source test case:0,0,false,185.93007684254817,1000.0
group 49 follow test case:0,0,false,186.93007684254817,1000.0
group 50 source test case:0,1,false,77.04104776079427,1000.0
group 50 follow test case:0,1,false,78.04104776079427,1000.0
group 51 source test case:0,0,false,130.70407288557266,1000.0
group 51 follow test case:0,0,false,131.70407288557266,1000.0
group 52 source test case:0,0,true,192.8970401986752,1000.0
group 52 follow test case:0,0,true,193.8970401986752,1000.0
group 53 source test case:0,1,true,74.55787254195442,1000.0
group 53 follow test case:0,1,true,75.55787254195442,1000.0
group 54 source test case:0,1,true,184.23658339894018,1000.0
group 54 follow test case:0,1,true,185.23658339894018,1000.0
group 55 source test case:0,0,true,174.59442317293065,1000.0
group 55 follow test case:0,0,true,175.59442317293065,1000.0
group 56 source test case:0,1,false,90.78677492662692,1000.0
group 56 follow test case:0,1,false,91.78677492662692,1000.0
group 57 source test case:0,0,true,145.70619156059655,1000.0
group 57 follow test case:0,0,true,146.70619156059655,1000.0
group 58 source test case:0,0,false,85.30511302817906,1000.0
group 58 follow test case:0,0,false,86.30511302817906,1000.0
group 59 source test case:0,1,false,64.86031977738796,1000.0
group 59 follow test case:0,1,false,65.86031977738796,1000.0
group 60 source test case:0,1,false,170.68157100690595,1000.0
group 60 follow test case:0,1,false,171.68157100690595,1000.0
group 61 source test case:0,1,false,77.67445661993602,1000.0
group 61 follow test case:0,1,false,78.67445661993602,1000.0
group 62 source test case:0,1,true,81.85103316864553,1000.0
group 62 follow test case:0,1,true,82.85103316864553,1000.0
group 63 source test case:0,0,true,66.81047115173101,1000.0
group 63 follow test case:0,0,true,67.81047115173101,1000.0
group 64 source test case:0,1,false,76.02553497566348,1000.0
group 64 follow test case:0,1,false,77.02553497566348,1000.0
group 65 source test case:0,1,false,169.661841280044,1000.0
group 65 follow test case:0,1,false,170.661841280044,1000.0
group 66 source test case:0,1,false,136.70580121806745,1000.0
group 66 follow test case:0,1,false,137.70580121806745,1000.0
group 67 source test case:0,1,true,77.25753228245947,1000.0
group 67 follow test case:0,1,true,78.25753228245947,1000.0
group 68 source test case:0,1,true,95.31493555607841,1000.0
group 68 follow test case:0,1,true,96.31493555607841,1000.0
group 69 source test case:0,1,true,174.1169302725868,1000.0
group 69 follow test case:0,1,true,175.1169302725868,1000.0
group 70 source test case:0,0,true,145.56624455378534,1000.0
group 70 follow test case:0,0,true,146.56624455378534,1000.0
group 71 source test case:0,0,false,82.9424306308767,1000.0
group 71 follow test case:0,0,false,83.9424306308767,1000.0
group 72 source test case:0,0,true,43.76844416861633,1000.0
